song_id;Year;Order;Country;Singer;Title;Points;Place;in_english;songid;lovementions;population
1;1956;1;Netherlands;Jetty Paerl;De Vogels Van Holland;0;0;FALSE;1;0;17000000
2;1956;2;Switzerland;Lys Assia;Das Alte Karussel;0;0;FALSE;2;0;8420000
3;1956;3;Belgium;Fud Leclerc;Messieurs Les Noyés Dans La Seine;0;0;FALSE;3;4;11350000
4;1956;4;Germany;Walter Andreas Schwarz;Das Lied Vom Großen Glück;0;0;FALSE;4;0;82790000
5;1956;5;France;Mathé Altéry;Le Temps Perdu;0;0;FALSE;5;6;67120000
6;1956;6;Luxembourg;Michèle Arnaud;Ne Crois Pas;0;0;FALSE;6;2;590667
7;1956;7;Italy;Franca Raimondi;Aprite Le Finestre;0;0;FALSE;7;4;60590000
8;1956;8;Netherlands;Corry Brokken;Voorgoed Voorbij;0;0;FALSE;8;0;17000000
9;1956;9;Switzerland;Lys Assia ;Refrain;0;1;FALSE;9;4;8420000
10;1956;10;Belgium;Mony Marc;Le Plus Beau Jour De Ma Vie;0;0;FALSE;10;2;11350000
11;1956;11;Germany;Freddy Quinn;So Geht Das Jede Nacht;0;0;FALSE;11;1;82790000
12;1956;12;France;Dany Dauberson;Il Est Là;0;0;FALSE;12;1;67120000
13;1956;13;Luxembourg;Michèle Arnaud;Les Amants De Minuit;0;0;FALSE;13;5;590667
14;1956;14;Italy;Tonina Torrielli;Amami Se Vuoi;0;0;FALSE;14;5;60590000
15;1957;1;Belgium;Bobbejaan Schoepen;Straatdeuntje;5;8;FALSE;15;0;11350000
16;1957;2;Luxembourg;Danièle Dupré;Tant De Peine;8;5;FALSE;16;5;590667
17;1957;3;United Kingdom;Patricia Bredin;All;6;7;TRUE;17;1;66020000
18;1957;4;Italy;Nunzio Gallo;Corde Della Mia Chitarra;7;6;FALSE;18;0;60590000
19;1957;5;Austria;Bob Martin;Wohin Kleines Pony;3;10;FALSE;19;0;8773000
20;1957;6;Netherlands;Corry Brokken ;Net Als Toen;31;1;FALSE;20;1;17000000
21;1957;7;Germany;Margot Hielscher;Telefon, Telefon;8;4;FALSE;21;0;82790000
22;1957;8;France;Paule Desjardins;La Belle Amour;17;2;FALSE;22;6;67120000
23;1957;9;Denmark;Birthe Wilke & Gustav Winckler;Skibet Skal Sejle I Nat;10;3;FALSE;23;1;5770000
24;1957;10;Switzerland;Lys Assia;L'enfant Que J'etais;5;9;FALSE;24;6;8420000
25;1958;1;Italy;Domenico Modugno;Nel Blu Dipinto Di Blu;13;3;FALSE;25;0;60590000
26;1958;2;Netherlands;Corry Brokken;Heel De Wereld;1;10;FALSE;26;0;17000000
27;1958;3;France;André Claveau ;Dors, Mon Amour;27;1;FALSE;27;10;67120000
28;1958;4;Luxembourg;Solange Berry;Un Grand Amour;1;9;FALSE;28;8;590667
29;1958;5;Sweden;Alice Babs;Lilla Stjärna;10;4;FALSE;29;1;9995000
30;1958;6;Denmark;Raquel Rastenni;Jeg Rev Et Blad Ud Af Min Dagbog;3;8;FALSE;30;0;5770000
31;1958;7;Belgium;Fud Leclerc;Ma Petite Chatte;8;5;FALSE;31;1;11350000
32;1958;8;Germany;Margot Hielscher;Für Zwei Groschen Musik;5;7;FALSE;32;0;82790000
33;1958;9;Austria;Liane Augustin;Die Ganze Welt Braucht Liebe;8;6;FALSE;33;6;8773000
34;1958;10;Switzerland;Lys Assia;Giorgio;24;2;FALSE;34;6;8420000
35;1959;1;France;Jean Philippe;Oui Oui Oui Oui;15;3;FALSE;35;0;67120000
36;1959;2;Denmark;Birthe Wilke;Uh Jeg Ville Onske Jeg Var Dig;12;5;FALSE;36;4;5770000
